TimeStamp (ms), Device type, Position x, Position y, Position z, Rotation w, Rotation x, Rotation y, Rotation z, Primary value, Nib value, Grip value, Touchpad X value, Touchpad Y value, Button AX, Button BY
3.695898, Primary, 0.2194583, 0.8669163, 0.261268, 0.996087, 0.06195395, -0.01474865, 0.06127748, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.695898, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639624, 0.241432, -0.1833711, -0.4020629, 0, 0, 0, 0, 0, 0, 0
3.723656, Hmd, 0.02759573, 1.146516, -0.03219709, 0.9711164, 0.1568491, 0.1798082, -0.0006213896, 0, 0, 0, 0, 0, 0, 0
3.723656, Primary, 0.2198637, 0.8676791, 0.2606781, 0.9960742, 0.06154269, -0.01410058, 0.06204571, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.723656, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639622, 0.2414325, -0.1833714, -0.4020628, 0, 0, 0, 0, 0, 0, 0
3.73783, Hmd, 0.02815467, 1.146055, -0.03212461, 0.9700351, 0.1599566, 0.1828809, -0.0003549456, 0, 0, 0, 0, 0, 0, 0
3.73783, Primary, 0.2201944, 0.8683095, 0.2601786, 0.9960949, 0.06100439, -0.01361549, 0.06235196, 0, 0, 0, -0.007827878, -0.001876831, 0, 0
3.73783, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639627, 0.2414318, -0.1833716, -0.402062, 0, 0, 0, 0, 0, 0, 0
3.751314, Hmd, 0.02880222, 1.145726, -0.03191829, 0.9690452, 0.1624791, 0.1858813, -3.795698E-05, 0, 0, 0, 0, 0, 0, 0
3.751314, Primary, 0.220579, 0.8691233, 0.2596098, 0.9961233, 0.06007116, -0.01306404, 0.06292215, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.751314, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639625, 0.2414321, -0.1833717, -0.4020622, 0, 0, 0, 0, 0, 0, 0
3.77942, Hmd, 0.03043196, 1.145353, -0.03188196, 0.9670122, 0.1659123, 0.1932754, 0.002261404, 0, 0, 0, 0, 0, 0, 0
3.77942, Primary, 0.2215666, 0.8711259, 0.2581665, 0.9962438, 0.05831138, -0.01244733, 0.06279372, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.77942, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639623, 0.2414327, -0.1833722, -0.4020622, 0, 0, 0, 0, 0, 0, 0
3.793501, Hmd, 0.03123704, 1.144825, -0.03176104, 0.9657607, 0.1679074, 0.1977438, 0.003275145, 0, 0, 0, 0, 0, 0, 0
3.793501, Primary, 0.2219828, 0.8719019, 0.2575814, 0.9963123, 0.05801185, -0.012379, 0.06199261, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.793501, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639625, 0.2414329, -0.1833717, -0.4020616, 0, 0, 0, 0, 0, 0, 0
3.807225, Hmd, 0.03196505, 1.144143, -0.03169766, 0.9645549, 0.1701228, 0.2016828, 0.004032996, 0, 0, 0, 0, 0, 0, 0
3.807225, Primary, 0.2225533, 0.8731371, 0.256725, 0.996447, 0.05752613, -0.01259345, 0.06021199, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.807225, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639627, 0.2414323, -0.1833707, -0.4020624, 0, 0, 0, 0, 0, 0, 0
3.836309, Hmd, 0.03370675, 1.142773, -0.03149307, 0.9618471, 0.1756141, 0.2097067, 0.005740541, 0, 0, 0, 0, 0, 0, 0
